,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_2y_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
13,1499716,20000000,810,788,0.1365,0.0145,0.1699,0.000212,0.13,0.39,2012-01-22,qlqe5lE,"group_neutralize(ts_scale(group_backfill(star_hold_region_rank, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
14,1827677,20000000,785,814,0.0392,0.0176,0.1285,0.000902,0.12,0.32,2012-01-22,e0ReAWl,"group_neutralize(ts_scale(group_backfill(rsk70_mfm2_asetrd_momentum, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
15,1470985,20000000,822,776,0.1398,0.0142,0.17,0.000203,0.12,0.38,2012-01-22,719gYqb,"group_neutralize(ts_scale(group_backfill(star_hold_global_rank, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
16,1152729,20000000,687,844,0.0358,0.0111,0.069,0.000622,0.11,0.38,2012-01-22,Y0qXg0o,"group_neutralize(ts_scale(group_backfill(fscore_surface, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
17,1059618,20000000,704,814,0.0252,0.0102,0.0887,0.000813,0.1,0.35,2012-01-22,d0LeXJK,"group_neutralize(ts_scale(group_backfill(oth455_customer_n2v_p10_q50_w5_pca_fact1_value, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
18,1198093,20000000,802,796,0.1762,0.0116,0.1349,0.000131,0.1,0.38,2012-01-22,K9axga8,"group_neutralize(ts_scale(group_backfill(star_hold_region_change_rank, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
19,1244412,20000000,811,788,0.177,0.012,0.1333,0.000136,0.1,0.4,2012-01-22,k0lea2L,"group_neutralize(ts_scale(group_backfill(star_hold_global_change_rank, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
20,974558,20000000,773,761,0.0311,0.0094,0.0865,0.000605,0.09,0.32,2012-01-22,APKq7mX,"group_neutralize(ts_scale(group_backfill(fscore_quality, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
21,818628,20000000,801,774,0.0691,0.0079,0.0471,0.000229,0.09,0.35,2012-01-22,qlqegz1,"group_neutralize(ts_scale(group_backfill(rp_css_product, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
22,1105862,20000000,809,789,0.144,0.0107,0.1323,0.000148,0.09,0.32,2012-01-22,xkgXv0W,"group_neutralize(ts_scale(group_backfill(star_hold_industry_rank, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
23,909500,20000000,787,780,0.052,0.0088,0.0574,0.000338,0.09,0.34,2012-01-22,ZnGZXzx,"group_neutralize(ts_scale(group_backfill(star_rev_analyst_number_fy2, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
24,902177,20000000,750,808,0.0241,0.0087,0.052,0.000723,0.09,0.34,2012-01-22,ZnGZ0rd,"group_neutralize(ts_scale(group_backfill(oth455_relation_n2v_p10_q50_w5_pca_fact3_value, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
25,1169246,20000000,819,778,0.1126,0.0113,0.1967,0.000201,0.08,0.28,2012-01-22,APKqxJw,"group_neutralize(ts_scale(group_backfill(star_hold_global_screening_rank, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
26,1130884,20000000,626,908,0.0333,0.0109,0.1076,0.000655,0.08,0.26,2012-01-22,OZaKxgb,"group_neutralize(ts_scale(group_backfill(fscore_value, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
27,1303386,20000000,824,750,0.2324,0.0126,0.0983,0.000108,0.07,0.28,2012-01-22,wlgXjo2,"group_neutralize(ts_scale(group_backfill(mdl106_fnb, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
28,758901,20000000,800,782,0.0481,0.0073,0.0686,0.000305,0.07,0.31,2012-01-22,k0lR8W8,"group_neutralize(ts_scale(group_backfill(star_rev_surprise_prediction_fy2, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
29,794018,20000000,688,791,0.097,0.0077,0.0679,0.000158,0.07,0.27,2012-01-22,bqE7PAr,"group_neutralize(ts_scale(group_backfill(oth395_fixed1313_d1_min, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
30,1034081,20000000,808,788,0.1109,0.01,0.1898,0.00018,0.07,0.25,2012-01-22,R8W058o,"group_neutralize(ts_scale(group_backfill(star_hold_region_screening_rank, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
31,1535286,20000000,875,700,0.361,0.0148,0.0718,8.2e-05,0.07,0.37,2012-01-22,R8W0V2e,"group_neutralize(ts_scale(group_backfill(mdl106_mkt_cap, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
32,1534864,20000000,30,30,0.0636,0.0148,0.2228,0.000466,0.06,0.16,2012-01-22,2LdPE2Z,"group_neutralize(ts_scale(group_backfill(rsk70_mfm2_asetrd_semicond, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
33,686347,20000000,681,894,0.0231,0.0066,0.0712,0.000573,0.06,0.25,2012-01-22,8Q1A3OX,"group_neutralize(ts_scale(group_backfill(oth455_relation_roam_w4_pca_fact2_value, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
34,865244,20000000,767,721,0.0881,0.0084,0.0867,0.00019,0.06,0.23,2012-01-22,anvJVw6,"group_neutralize(ts_scale(group_backfill(oth395_asset_43_23, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
35,785537,20000000,769,719,0.0895,0.0076,0.0953,0.000169,0.05,0.21,2012-01-22,olO2EP5,"group_neutralize(ts_scale(group_backfill(oth395_asset_43_31, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
36,705744,20000000,742,854,0.0585,0.0068,0.1506,0.000233,0.05,0.23,2012-01-22,1dE6XPJ,"group_neutralize(ts_scale(group_backfill(anl47_japan_d1_totalrawsignal, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
37,705744,20000000,742,854,0.0585,0.0068,0.1506,0.000233,0.05,0.23,2012-01-22,MQm936k,"group_neutralize(ts_scale(group_backfill(anl47_d1_totalrawsignal, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
38,575323,20000000,700,831,0.045,0.0056,0.0656,0.000247,0.04,0.19,2012-01-22,3RLgeNQ,"group_neutralize(ts_scale(group_backfill(fscore_total, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
39,709075,20000000,767,720,0.0889,0.0068,0.0892,0.000154,0.04,0.18,2012-01-22,llXxMGN,"group_neutralize(ts_scale(group_backfill(oth395_asset_43_12, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
40,316106,20000000,703,860,0.1109,0.0031,0.0338,5.5e-05,0.03,0.16,2012-01-22,8Q1gqzV,"group_neutralize(ts_scale(group_backfill(oth452_expense_d1_mean, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
41,642055,20000000,628,966,0.0875,0.0062,0.1378,0.000142,0.03,0.15,2012-01-22,plOQ896,"group_neutralize(ts_scale(group_backfill(rp_nip_dividends, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
42,882839,20000000,990,433,0.1896,0.0085,0.1398,9e-05,0.03,0.15,2012-01-22,QVXeKZQ,"group_neutralize(ts_scale(group_backfill(nws7_2_d1_negative_freq, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
43,495157,20000000,741,855,0.0597,0.0048,0.1579,0.00016,0.03,0.16,2012-01-22,MQm90PM,"group_neutralize(ts_scale(group_backfill(anl47_d1_rawsentiment, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
44,651370,20000000,753,822,0.1972,0.0063,0.0951,6.4e-05,0.03,0.17,2012-01-22,bqE7jnN,"group_neutralize(ts_scale(group_backfill(mdl106_stars, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
45,495157,20000000,741,855,0.0597,0.0048,0.1579,0.00016,0.03,0.16,2012-01-22,anvXxaR,"group_neutralize(ts_scale(group_backfill(anl47_japan_d1_rawsentiment, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
46,571922,20000000,974,453,0.1875,0.0055,0.1794,5.9e-05,0.02,0.1,2012-01-22,Nr9MVWE,"group_neutralize(ts_scale(group_backfill(nws7_2_d1_negative_score, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
47,768313,20000000,900,675,0.3276,0.0074,0.0798,4.5e-05,0.02,0.16,2012-01-22,olOQ6n6,"group_neutralize(ts_scale(group_backfill(mdl106_price, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
48,356590,20000000,749,824,0.2379,0.0034,0.0868,2.9e-05,0.01,0.1,2012-01-22,5OWNlen,"group_neutralize(ts_scale(group_backfill(mdl106_rv, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
49,251855,20000000,831,732,0.097,0.0027,0.0957,5.6e-05,0.01,0.09,2012-01-22,3RLgLxz,"group_neutralize(ts_scale(group_backfill(oth452_expense_d1_asset_change, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
50,288509,20000000,826,728,0.1068,0.003,0.1477,5.7e-05,0.01,0.08,2012-01-22,Nr9kv7E,"group_neutralize(ts_scale(group_backfill(oth452_liability_d1_asset_change, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
51,219866,20000000,755,812,0.1068,0.0021,0.0488,4e-05,0.01,0.1,2012-01-22,gMp7Eje,"group_neutralize(ts_scale(group_backfill(oth452_deferred_tax_expense_51, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
52,229393,20000000,782,810,0.11,0.0022,0.0649,4e-05,0.01,0.07,2012-01-22,VPJKNw5,"group_neutralize(ts_scale(group_backfill(star_hold_region_owner_rank, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
53,205484,20000000,779,792,0.0255,0.002,0.1103,0.000155,0.01,0.07,2012-01-22,OZaKYjp,"group_neutralize(ts_scale(group_backfill(oth455_relation_n2v_p10_q200_w5_pca_fact3_value, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
54,-83912,20000000,760,772,0.0429,-0.0008,0.1419,-3.8e-05,-0.0,-0.02,2012-01-22,rlXQPlj,"group_neutralize(ts_scale(group_backfill(fscore_momentum, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
55,-80029,20000000,858,737,0.1195,-0.0008,0.0682,-1.3e-05,-0.0,-0.02,2012-01-22,P39joXJ,"group_neutralize(ts_scale(group_backfill(star_hold_global_owner_rank, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
56,-78443,20000000,706,829,0.0292,-0.0008,0.1631,-5.2e-05,-0.0,-0.03,2012-01-22,P39jO3x,"group_neutralize(ts_scale(group_backfill(fscore_profitability, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
57,-134405,20000000,969,610,0.0903,-0.0013,0.111,-2.9e-05,-0.0,-0.04,2012-01-22,L1JOkX6,"group_neutralize(ts_scale(group_backfill(rp_css_revenue, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
58,-7568,20000000,917,634,0.0259,-0.0001,0.0933,-6e-06,-0.0,-0.0,2012-01-22,qlqe1pZ,"group_neutralize(ts_scale(group_backfill(oth455_customer_n2v_p10_q200_w1_pca_fact3_value, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
59,-7568,20000000,917,634,0.0259,-0.0001,0.0933,-6e-06,-0.0,-0.0,2012-01-22,GLJEpmO,"group_neutralize(ts_scale(group_backfill(oth455_customer_n2v_p50_q200_w1_pca_fact3_value, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
60,-127563,20000000,765,834,0.1715,-0.0012,0.2052,-1.4e-05,-0.0,-0.03,2012-01-22,xkgM1aq,"group_neutralize(ts_scale(group_backfill(rp_nip_business, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
61,-126611,20000000,797,749,0.0851,-0.0012,0.0761,-2.9e-05,-0.0,-0.05,2012-01-22,olOQOz5,"group_neutralize(ts_scale(group_backfill(oth452_deferred_tax_liability_41, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
62,33196,20000000,729,735,0.0759,0.0003,0.1383,8e-06,0.0,0.01,2012-01-22,QVXebaX,"group_neutralize(ts_scale(group_backfill(rsk70_mfm2_asetrd_anlystsn, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
63,-109178,20000000,856,431,0.2398,-0.0011,0.2392,-9e-06,-0.0,-0.02,2012-01-22,d0LeEdw,"group_neutralize(ts_scale(group_backfill(nws7_2_d1_positive_score, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
64,-158224,20000000,793,802,0.0572,-0.0015,0.1001,-5.3e-05,-0.01,-0.06,2012-01-22,R8W0AJb,"group_neutralize(ts_scale(group_backfill(anl47_d1_rawexperts, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
65,-360193,20000000,875,413,0.2414,-0.0035,0.2525,-2.9e-05,-0.01,-0.06,2012-01-22,1dEvZeJ,"group_neutralize(ts_scale(group_backfill(nws7_2_d1_positive_freq, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
66,-381812,20000000,876,663,0.0676,-0.0037,0.1153,-0.000109,-0.01,-0.08,2012-01-22,Y0qXwAv,"group_neutralize(ts_scale(group_backfill(oth428_z_2q_recurring_profit, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
67,-476892,20000000,20,22,0.0656,-0.0046,0.365,-0.00014,-0.01,-0.04,2012-01-22,Nr9kkPL,"group_neutralize(ts_scale(group_backfill(rsk70_mfm2_asetrd_utility, industry, 252, std=1), 252), densify(country))",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS
68,-158224,20000000,793,802,0.0572,-0.0015,0.1001,-5.3e-05,-0.01,-0.06,2012-01-22,719gLXO,"group_neutralize(ts_scale(group_backfill(anl47_japan_d1_rawexperts, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
69,-329556,20000000,783,794,0.0718,-0.0032,0.1331,-8.9e-05,-0.02,-0.14,2012-01-22,vlgadWG,"group_neutralize(ts_scale(group_backfill(rp_nip_product, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
70,-509098,20000000,838,760,0.1663,-0.0049,0.2179,-5.9e-05,-0.02,-0.14,2012-01-22,vlgadzv,"group_neutralize(ts_scale(group_backfill(rp_ess_business, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
71,-409030,20000000,823,770,0.0335,-0.0039,0.1233,-0.000235,-0.02,-0.14,2012-01-22,3RLdGd6,"group_neutralize(ts_scale(group_backfill(star_rev_smart_estimate_fy2, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
72,-595370,20000000,974,573,0.0693,-0.0057,0.1361,-0.000166,-0.02,-0.1,2012-01-22,3RLdoGz,"group_neutralize(ts_scale(group_backfill(oth428_net_profit, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
73,-238044,20000000,711,756,0.082,-0.0023,0.0599,-5.6e-05,-0.02,-0.12,2012-01-22,JOKRXrO,"group_neutralize(ts_scale(group_backfill(oth395_jones_accrual_pct_other_14, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
74,-290767,20000000,785,761,0.0868,-0.0028,0.0795,-6.5e-05,-0.02,-0.11,2012-01-22,plOQOE3,"group_neutralize(ts_scale(group_backfill(oth452_deferred_tax_liability_51, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
75,-525652,20000000,564,1033,0.1456,-0.0051,0.2218,-7e-05,-0.02,-0.12,2012-01-22,8Q1Avql,"group_neutralize(ts_scale(group_backfill(rp_nip_earnings, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
76,-421304,20000000,847,621,0.0696,-0.0041,0.1241,-0.000117,-0.02,-0.09,2012-01-22,K9axq5k,"group_neutralize(ts_scale(group_backfill(oth428_z_2q_operating_profit, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
77,-611687,20000000,899,640,0.0683,-0.0059,0.1063,-0.000173,-0.03,-0.13,2012-01-22,9r0gbMo,"group_neutralize(ts_scale(group_backfill(oth428_z_2q_net_profit, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
78,-529891,20000000,769,762,0.0579,-0.0051,0.1234,-0.000177,-0.04,-0.19,2012-01-22,GLJEe2G,"group_neutralize(ts_scale(group_backfill(fscore_surface_accel, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
79,-840336,20000000,928,618,0.0687,-0.0081,0.1225,-0.000236,-0.04,-0.15,2012-01-22,wlg6oV1,"group_neutralize(ts_scale(group_backfill(oth428_recurring_profit, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
80,-834722,20000000,926,555,0.071,-0.0081,0.1559,-0.000227,-0.04,-0.14,2012-01-22,zmpadzR,"group_neutralize(ts_scale(group_backfill(oth428_operating_profit, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
81,-559678,20000000,855,741,0.0583,-0.0054,0.2383,-0.000186,-0.04,-0.19,2012-01-22,OZaK8W1,"group_neutralize(ts_scale(group_backfill(anl47_d1_rawalphadecay, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
82,-559678,20000000,855,741,0.0583,-0.0054,0.2383,-0.000186,-0.04,-0.19,2012-01-22,vlgaORv,"group_neutralize(ts_scale(group_backfill(anl47_japan_d1_rawalphadecay, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
83,-821870,20000000,725,873,0.0852,-0.0079,0.1193,-0.000186,-0.05,-0.18,2012-01-22,VPJKKN8,"group_neutralize(ts_scale(group_backfill(rsk70_mfm2_asetrd_srisk, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
84,-644316,20000000,768,813,0.0255,-0.0062,0.186,-0.000488,-0.05,-0.24,2012-01-22,APK60nd,"group_neutralize(ts_scale(group_backfill(oth455_relation_roam_w5_pca_fact3_value, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
85,-795404,20000000,760,712,0.0956,-0.0077,0.1678,-0.000161,-0.05,-0.21,2012-01-22,vlg0OOA,"group_neutralize(ts_scale(group_backfill(oth395_asset_41_13, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
86,-1042516,20000000,959,587,0.0741,-0.0101,0.1564,-0.000272,-0.05,-0.18,2012-01-22,zmpXQ2V,"group_neutralize(ts_scale(group_backfill(oth428_total_sales, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
87,-555088,20000000,765,635,0.0507,-0.0054,0.1103,-0.000212,-0.05,-0.22,2012-01-22,5OWNO7N,"group_neutralize(ts_scale(group_backfill(star_rev_analyst_number_fq1, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
88,-688812,20000000,752,846,0.0693,-0.0067,0.1742,-0.000192,-0.05,-0.2,2012-01-22,e0RA6QM,"group_neutralize(ts_scale(group_backfill(rp_ess_revenue, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
89,-647360,20000000,864,716,0.0218,-0.0063,0.0972,-0.000573,-0.05,-0.23,2012-01-22,Xn6qW15,"group_neutralize(ts_scale(group_backfill(oth455_relation_n2v_p10_q50_w2_pca_fact2_value, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
90,-647360,20000000,864,716,0.0218,-0.0063,0.0972,-0.000573,-0.05,-0.23,2012-01-22,e0RepPE,"group_neutralize(ts_scale(group_backfill(oth455_relation_n2v_p50_q50_w2_pca_fact2_value, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
91,-759164,20000000,796,751,0.0702,-0.0073,0.0955,-0.000209,-0.07,-0.3,2012-01-22,Xn6XEnm,"group_neutralize(ts_scale(group_backfill(oth452_deferred_tax_liability_13, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
92,-999220,20000000,798,800,0.0543,-0.0096,0.1443,-0.000356,-0.08,-0.28,2012-01-22,VPJn0w0,"group_neutralize(ts_scale(group_backfill(rsk70_mfm2_asetrd_cntadj, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
93,-1103444,20000000,882,715,0.0628,-0.0107,0.1402,-0.000339,-0.09,-0.31,2012-01-22,qlqbEEv,"group_neutralize(ts_scale(group_backfill(rp_css_earnings, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
94,-962600,20000000,633,848,0.1081,-0.0093,0.1165,-0.000172,-0.09,-0.34,2012-01-22,vlga3Y3,"group_neutralize(ts_scale(group_backfill(oth452_accruals_d1_min, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
95,-927499,20000000,740,748,0.089,-0.009,0.1542,-0.000201,-0.09,-0.32,2012-01-22,rlXQz8m,"group_neutralize(ts_scale(group_backfill(oth395_asset_58_13, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
